wmoid	name	prov	lon	lat	high	mlowt	std1	hightsev	std2	hight	lowt	mrain	
57776	南岳	湖南	112.7	27.3	1265.9	-12	2	27	1	29	-16	2056.8	
57793	宜春	江西	114.38	27.8	131.3	-5	2	36	1	38	-9	1788.7	
57799	吉安	江西	114.97	27.12	76.4	-4	2	37	1	39	-8	1430.3	
57803	黔西	贵州	106.02	27.03	1251.8	-6	2	30	1	32	-10	1173.1	
57806	安顺	贵州	105.92	26.25	1392.9	-5	2	29	1	31	-9	1267.2	
57816	贵阳	贵州	106.72	26.58	1074.3	-5	2	31	1	33	-9	1059	
57825	凯里	贵州	107.98	26.6	720.3	-5	2	33	1	35	-9	1368.3	
57832	三穗	贵州	108.67	26.97	610.5	-7	2	32	1	34	-11	1146.8	
57845	通道	湖南	109.78	26.17	397.5	-5	2	33	1	35	-9	1317.8	
57853	武冈	湖南	110.63	26.73	341	-5	2	35	1	37	-9	1375.6	
57866	零陵	湖南	111.62	26.23	172.6	-4	2	36	1	38	-8	995.1	
57872	衡阳	湖南	112.6	26.9	103.2	-4	2	37	1	39	-8	1627.2	
57896	遂川	江西	114.5	26.33	126.1	-4	2	36	1	38	-8	1382.8	
57902	兴义	贵州	105.18	25.43	1378.5	-4	1	29	1	31	-6	1224.2	
57906	望谟	贵州	106.08	25.18	566.8	-1	2	34	1	36	-5	1364.6	
57916	罗甸	贵州	106.77	25.43	440.3	-1	2	35	1	37	-5	1200.9	
57922	独山	贵州	107.55	25.83	1013.3	-6	2	30	1	32	-10	1211.8	
57932	榕江	贵州	108.53	25.97	285.7	-3	2	35	1	37	-7	1436.2	
57947	融安	广西	109.4	25.22	121.3	-2	1	35	1	37	-4	1785.9	
57957	桂林	广西	110.3	25.32	164.4	-2	2	35	1	37	-6	1921.9	
57965	道县	湖南	111.6	25.53	192.2	-3	2	36	1	38	-7	1788.8	
57972	郴州	湖南	113.03	25.8	184.9	-5	2	36	1	38	-9	1678.2	
57993	赣州	江西	114.95	25.85	123.8	-3	1	36	1	38	-5	1348.8	
57996	南雄	广东	114.32	25.13	133.8	-2	2	36	1	38	-6	1350.6	
58005	尚丘	河南	115.67	34.45	50.1	-12	2	35	2	39	-16	644.1	
58015	砀山	安徽	116.33	34.42	43.2	-12	3	35	2	39	-18	735.8	
58027	徐州	江苏	117.15	34.28	41	-12	3	35	1	37	-18	1311	
58040	赣榆	江苏	119.12	34.83	2.1	-12	3	33	2	37	-18	1014.9	
58102	毫州	安徽	115.77	33.87	37.7	-12	3	36	2	40	-18	1104.9	
58122	宿县	安徽	116.98	33.63	25.9	-13	3	36	2	40	-19	855.3	
58138	盱眙	江苏	118.52	32.98	34.5	-11	3	35	2	39	-17	1075.9	
58144	淮阴(清江)	江苏	119.03	33.6	17.5	-11	3	34	2	38	-17	972.9	
58150	射阳	江苏	120.25	33.77	2	-10	2	34	2	38	-14	904.5	
58203	阜阳	安徽	115.82	32.92	30.6	-11	3	36	2	40	-17	741.8	
58208	固始	河南	115.67	32.17	57.1	-10	4	35	1	37	-18	741.5	
58215	寿县	安徽	116.78	32.55	22.7	-12	3	35	1	37	-18	1160.1	
58221	蚌埠	安徽	117.38	32.95	18.7	-10	3	36	2	40	-16	695.6	
58236	滁县	安徽	118.3	32.3	25.3	-10	2	35	2	39	-14	739.3	
58238	南京	江苏	118.8	32	8.9	-10	2	35	1	37	-14	693	
58241	高邮	江苏	119.45	32.8	5.4	-10	2	34	1	36	-14	1451.7	
58251	东台	江苏	120.32	32.87	4.3	-9	2	34	1	36	-13	1115.6	
58259	南通	江苏	120.85	32.02	5.3	-8	2	34	1	36	-12	848.4	
58265	吕泗	江苏	121.6	32.07	5.5	-7	2	34	1	36	-11	933.4	
58311	六安	安徽	116.5	31.75	60.5	-10	3	36	2	40	-16	1386.5	
58314	霍山	安徽	116.32	31.4	68.1	-10	3	36	2	40	-16	1480.4	
58321	合肥	安徽	117.23	31.87	27.9	-9	2	36	1	38	-13	1122.1	
58326	巢湖	安徽	117.87	31.62	22.4	-9	2	36	1	38	-13	895.9	
58343	常州	江苏	119.93	31.77	4.9	-8	2	35	1	37	-12	1174.6	
58345	溧阳	江苏	119.48	31.43	7.2	-9	3	35	1	37	-15	1179	
58358	吴县东山	江苏	120.43	31.07	17.5	-6	2	35	1	37	-10	1468.1	
58367	上海龙华	上海	121.43	31.17	2.8	-7	2	35	1	37	-11	949.5	
58402	英山	湖北	115.67	30.73	123.8	-8	2	36	2	40	-12	1300	
58407	黄石	湖北	115.05	30.25	19.6	-6	2	37	1	39	-10	1434.6	
58424	安庆	安徽	117.05	30.53	19.8	-7	2	36	1	38	-11	1133	
58436	宁国	安徽	118.98	30.62	89.4	-11	2	37	2	41	-15	1537.5	
58437	黄山	安徽	118.15	30.13	1840.4	-18	2	23	1	25	-22	2936.3	
58457	杭州	浙江	120.17	30.23	41.7	-6	2	36	1	38	-10	1421.5	
58464	平湖	浙江	121.08	30.62	5.4	-8	2	34	1	36	-12	1092.9	
58467	慈溪	浙江	121.22	30.27	7.1	-6	2	36	1	38	-10	1048.5	
58472	嵊泗	浙江	122.45	30.73	79.6	-4	2	32	1	34	-8	1111.9	
58477	定海	浙江	122.1	30.03	35.7	-4	1	33	2	37	-6	1254.8	
58506	庐山	江西	115.98	29.58	1164.5	-13	2	28	1	30	-17	2021.7	
58519	波阳	江西	116.68	29	40.1	-5	2	36	1	38	-9	1376.7	
58527	景德镇	江西	117.2	29.3	61.5	-7	2	36	1	38	-11	1668.4	
58531	屯溪	安徽	118.28	29.72	142.7	-8	2	36	1	38	-12	1707.2	
58549	金华	浙江	119.65	29.12	62.6	-6	2	37	1	39	-10	1428.3	
58556	嵊县	浙江	120.82	29.6	104.3	-8	2	37	2	41	-12	1397.9	
58562	鄞县	浙江	121.57	29.87	4.2	-6	2	35	1	37	-10	1243.7	
58569	石浦	浙江	121.95	29.2	128.4	-5	1	33	1	35	-7	1448.9	
58606	南昌	江西	115.92	28.6	46.7	-5	2	37	1	39	-9	1672.7	
58608	樟树	江西	115.55	28.07	30.4	-6	2	37	1	39	-10	1791.5	
58626	贵溪	江西	117.22	28.3	51.2	-5	2	37	1	39	-9	2254.5	
58633	衢州	浙江	118.87	28.97	66.9	-6	2	37	1	39	-10	1802.8	
58634	玉山	江西	118.25	28.68	116.3	-6	2	37	1	39	-10	2023.1	
58646	丽水	浙江	119.92	28.45	60.8	-6	2	38	1	40	-10	1373.3	
58647	龙泉	浙江	119.13	28.08	198.4	-6	2	36	1	38	-10	1531	
58659	温州	浙江	120.67	28	6	-3	1	34	1	36	-5	2238.7	
58665	洪家	浙江	121.42	28.62	1.3	-5	2	34	1	36	-9	1492.9	
58666	大陈岛	浙江	121.9	28.45	86.2	-3	2	30	1	32	-7	1348.8	
58667	玉环	浙江	121.27	28.08	95.9	-3	1	31	1	33	-5	1295.3	
58715	南城	江西	116.65	27.58	80.8	-5	2	36	1	38	-9	1817	
58725	邵武	福建	117.47	27.33	191.5	-6	2	36	1	38	-10	1777.3	
58731	浦城	福建	118.53	27.92	276.9	-6	1	36	1	38	-8	1977.7	
58737	建瓯	福建	118.32	27.05	154.9	-5	2	37	1	39	-9	1833	
58754	福鼎	福建	120.2	27.33	36.2	-3	1	35	1	37	-5	1572.8	
58813	广昌	江西	116.33	26.85	143.8	-5	2	37	1	39	-9	1576.4	
58820	泰宁	福建	117.17	26.9	342.9	-7	2	35	1	37	-11	1764.9	
58834	南平	福建	118.17	26.65	125.6	-3	2	37	1	39	-7	1682.6	
58847	福州	福建	119.28	26.08	83.8	1	2	36	1	38	-3	1585.5	
58911	长汀	福建	116.37	25.85	310	-5	1	34	1	36	-7	2234.8	
58918	上杭	福建	116.42	25.05	197.9	-2	2	35	1	37	-6	1591.8	
58921	永安	福建	117.35	25.97	206	-4	2	36	1	38	-8	1515	
58931	九仙山	福建	118.1	25.72	1653.5	-10	2	25	1	27	-14	1341.3	
58933	屏南	福建	118.98	26.92	869.5	-8	2	32	1	34	-12	1823.3	
58944	平潭	福建	119.78	25.52	32.4	4	1	32	1	34	2	1395.7	
59007	广南	云南	105.07	24.07	1249.6	-3	2	31	1	33	-7	792.4	
59021	风山	广西	107.03	24.55	484.6	0	2	33	1	35	-4	1503.8	
59023	河池	广西	108.05	24.7	211	2	1	35	1	37	0	1872.4	
59037	都安	广西	108.1	23.93	170.8	3	1	35	1	37	1	1697.9	
59046	柳州	广西	109.4	24.35	96.8	1	2	36	1	38	-3	1497	
59058	蒙山	广西	110.52	24.2	145.7	-1	1	35	1	37	-3	1672	
59065	贺县	广西	111.52	24.42	108.8	-2	2	36	1	38	-6	1592.2	
59072	连县	广东	112.38	24.78	97.6	-3	2	36	1	38	-7	1424.5	
59082	韶关	广东	113.58	24.8	69.3	-1	2	36	1	38	-5	1452.3	
59087	佛岗	广东	113.53	23.87	67.8	0	2	35	1	37	-4	2245.7	
59096	连平	广东	114.48	24.37	214.5	-2	2	34	1	36	-6	1921.9	
59102	寻鸟	江西	115.65	24.95	303.9	-4	1	35	1	37	-6	1893.4	
59117	梅县	广东	116.1	24.27	87.8	-1	2	36	1	38	-5	1219.7	
59126	漳州	福建	117.65	24.5	28.9	2	2	36	1	38	-2	1757	
59133	崇武	福建	118.92	24.9	21.8	4	1	32	1	34	2	1191.6	
59134	厦门	福建	118.07	24.48	139.4	4	1	34	1	36	2	1047.2	
59209	那坡	广西	105.83	23.42	793.6	-1	3	31	1	33	-7	1208.8	
59211	百色	广西	106.6	23.9	173.5	3	2	37	1	39	-1	1322	
59218	靖西	广西	106.42	23.13	739.4	1	2	31	1	33	-3	1646.1	
59242	来宾	广西	109.23	23.75	84.9	0	2	36	1	38	-4	1365.1	
59254	桂平	广西	110.08	23.4	42.5	3	1	35	1	37	1	1440.6	
59265	梧州	广西	111.3	23.48	114.8	1	2	36	1	38	-3	1409.5	
59271	广宁	广东	112.43	23.63	56.8	-1	2	35	1	37	-5	1705.6	
